Chasis,Node,CPU Count,Core Count,Thread Count,Memory,Storage,MAC,IP
SD530-a,SD530-a1,2,24,48,384GiB,,,
SD530-a,SD530-a2,2,24,48,384GiB,,,
SD530-a,SD530-a3,2,24,48,384GiB,,,
SD530-a,SD530-a4,2,24,48,384GiB,,,
SD530-b,SD530-b1,2,24,48,384GiB,,,
SD530-b,SD530-b2,2,24,48,384GiB,,,
SD530-b,SD530-b3,2,24,48,384GiB,,,
SD530-b,SD530-b4,2,24,48,384GiB,,,
SD530-c,SD530-c1,2,24,48,384GiB,,,
SD530-c,SD530-c2,2,24,48,384GiB,,,
SD530-c,SD530-c3,2,24,48,384GiB,,,
SD530-c,SD530-c4,2,24,48,384GiB,,,
SD530-d,SD530-d1,2,24,48,384GiB,,,
SD530-d,SD530-d2,2,24,48,384GiB,,,
SD530-d,SD530-d3,2,24,48,384GiB,,,
SD530-d,SD530-d4,2,24,48,384GiB,,,
SD530-e,SD530-e1,2,24,48,384GiB,,,
SD530-e,SD530-e2,2,24,48,384GiB,,,
SD530-e,SD530-e3,2,24,48,384GiB,,,
SD530-e,SD530-e4,2,24,48,384GiB,,,
SD530-f,SD530-f1,2,24,48,384GiB,,,
SD530-f,SD530-f2,2,24,48,384GiB,,,
SD530-f,SD530-f3,2,24,48,384GiB,,,
SD530-f,SD530-f4,2,24,48,384GiB,,,
FX2-a,FX2-a1,2,,,256GiB,,,
FX2-a,FX2-a2,2,,,256GiB,,,
FX2-a,FX2-a3,2,,,256GiB,,,
FX2-a,FX2-a4,2,,,256GiB,,,
FX2-a,FX2-a5,2,,,256GiB,,,
FX2-a,FX2-a6,2,,,256GiB,,,
FX2-a,FX2-a7,2,,,256GiB,,,
FX2-a,FX2-a8,2,,,256GiB,,,
FX2-b,FX2-b1,2,,,256GiB,,,
FX2-b,FX2-b2,2,,,256GiB,,,
FX2-b,FX2-b3,2,,,256GiB,,,
FX2-b,FX2-b4,2,,,256GiB,,,
FX2-b,FX2-b5,2,,,256GiB,,,
FX2-b,FX2-b6,2,,,256GiB,,,
FX2-b,FX2-b7,2,,,256GiB,,,
FX2-b,FX2-b8,2,,,256GiB,,,
FX2-c,FX2-c1,2,,,256GiB,,,
FX2-c,FX2-c2,2,,,256GiB,,,
FX2-c,FX2-c3,2,,,256GiB,,,
FX2-c,FX2-c4,2,,,256GiB,,,
FX2-c,FX2-c5,2,,,256GiB,,,
